"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2021","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2022","21447784","4,5"
"United States of America","2021","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2022","4189406","4,5"
"United States of America","2021","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2022","4279315","4,5"
"United States of America","2021","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2022","4442581","4,5"
"United States of America","2021","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2022","4432993","4,5"
"United States of America","2021","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2022","4355926","4,5"
"United States of America","2021","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2022","21564666","4,5"
"United States of America","2021","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2022","4310462","4,5"
"United States of America","2021","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2022","4333375","4,5"
"United States of America","2021","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2022","4292780","4,5"
"United States of America","2021","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2022","4272123","4,5"
"United States of America","2021","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2022","4346679","4,5"
"United States of America","2021","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2022","21523997","4,5"
"United States of America","2021","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2022","4347378","4,5"
"United States of America","2021","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2022","4278923","4,5"
"United States of America","2021","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2022","4271130","4,5"
"United States of America","2021","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2022","4279887","4,5"
"United States of America","2021","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2022","4309146","4,5"
"United States of America","2021","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2022","22392477","4,5"
"United States of America","2021","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2022","4387353","4,5"
"United States of America","2021","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2022","4481186","4,5"
"United States of America","2021","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2022","4554775","4,5"
"United States of America","2021","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2022","4660017","4,5"
"United States of America","2021","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2022","4730811","4,5"
"United States of America","2021","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2022","23102628","4,5"
"United States of America","2021","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2022","4745375","4,5"
"United States of America","2021","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2022","4612291","4,5"
